場所,評価,レビュー数
FOLEO,3.6,1814
アミューズメントパーク ウェアハウス川崎店,4.3,1806
車天鬼二合店,4.2,1796
Ivy Place,4.2,1793
Saclass戸塚,3.5,1760
開港記念会館,4.0,1759
港の見える丘公園展望台,4.3,1757
Ito-Yokado LaLaport Yokohama,3.7,1754
CERTE,3.4,1736
里山ガーデン,4.1,1729
ニューオータニイン横浜プレミアム,4.1,1723
横浜大世界,3.6,1718
ラウンド1,3.5,1709
APiTA横浜綱島,3.8,1705
ダイワロイネットホテル横浜公園,4.1,1691
横浜大飯店,4.1,1690
保土ヶ谷公園,4.0,1676
bills横浜赤レンガ倉庫,3.9,1671
ハマボウルEAS,3.8,1657
一蘭,3.9,1600
京急の森公園,4.2,1592
本牧市民公園,4.0,1577
フィールドアスレチック横浜つくし野コース,4.2,1573
野島公園,4.0,1563
三浦湯,3.9,1556
東京湾,3.9,1551
JR横浜タワー,4.0,1548
SKY SPA横浜,4.1,1546
La Vista新津田,3.5,1545
Apita戸塚,3.5,1531
幸福寺松原商店街,4.1,1490
Ito Yokado能見台店,3.6,1487
Camio,3.5,1478
一蘭,3.8,1469
横浜動物の森公園,4.3,1457
NYK氷川丸,4.3,1456
ホテル横浜キャメロットジャパン,3.6,1431
ベイタウン本牧5,3.6,1429
Ito Yokado鶴見店,3.5,1410
ポケモンセンター横浜,4.2,1404
原鉄道模型博物館,4.2,1398
イオン天王町,3.4,1389
町田商店横浜関内,3.7,1386
La Ohana,4.1,1338
Aeon Style東戸塚店,3.7,1298
スーパーホテル横浜関内,4.1,1288
行法寺,4.2,1279
YOKOHAMA UKAI-TEI,4.6,1275
ハングリータイガー,4.2,1268
町田商店横浜駅,3.7,1265
ホテルプラム横浜,3.8,1246
ホテルルートイン横浜馬車道,3.8,1243
シェーキーズ横浜西口,3.9,1242
(株)坂田種苗ガーデンセンター横浜,4.0,1236
ナビオス横浜,4.0,1235
コンフォートホテル横浜関内,3.7,1233
横浜元町商店街,4.0,1228
THE RIGOLETTO ocean club,3.9,1219
むさしの森珈琲 六ッ川店,3.9,1214
ホテルJALシティ関内横浜,4.0,1204
Across Plaza東神奈川,3.6,1201
SHAKE SHACKみなとみらい店,3.9,1196
丸亀製麺,3.6,1195
ザ・ノット横浜,3.9,1193
舞田公園,3.9,1192
アジアンバーRAMAI 横浜伊勢佐木モール店,4.4,1184
境川遊水地公園,3.9,1172
横浜伊勢佐木町ワシントンホテル,3.7,1169
ステーキライスの店 センタービーフ横浜関内本店,4.6,1161
マクドナルド,3.3,1136
若菜,4.0,1135
幸せの鐘,4.1,1133
スマートフォン病院横浜駅店,4.5,1130
満珍楼天津飯,4.3,1129
Cheruru野毛,3.4,1129
スーパーホテル新横浜,3.9,1127
SOGO美術館,4.1,1119
伊勢佐木モール,3.7,1118
ショッピングタウンITI,3.5,1117
朝熊,4.0,1345
APiTA金沢文庫,3.6,1344
金沢自然公園,4.2,1340
町田商店横浜関内,3.7,1265
鶴一家,3.6,1116
リッチモンドホテル横浜馬車道,4.0,1116
新横浜国際ホテル,3.6,1105
射天鬼,4.2,1096
NEWoMan横浜,4.0,1094
Coco'sレストラン,3.3,1094
ハイアットリージェンシー横浜,4.4,1093
クロスゲート,3.7,1091
ホテルエディット横浜,4.1,1061
CIAL PLAT東神奈川,3.5,1061
Eggs 'n Things,4.1,1054
桜木町駅,4.0,1050
ダイワロイネットホテル横浜関内,3.8,1047
TGI FRIDAYS横浜西口,3.9,1043
塩ラーメン本丸亭横浜,4.0,1036
神奈川県立歴史博物館,4.1,1033
北京ダック,3.8,1032
レンブラントスタイル横浜関内,3.6,1027
メレンゲ岸根公園,3.9,1023
鶏喰～TRICK～,4.3,1023
横浜英語の庭,4.2,1023
港の見える丘公園,4.4,1022
丸亀製麺横浜伊神店,3.7,1022
横浜博覧館,3.6,1021
赤レンガ公園,4.2,1013
倉木公園,4.1,1007
俺のフレンチ横浜,4.0,1006
上源郎,4.0,1003
龍舞,4.2,999
スターバックスコーヒー横浜鶴見,4.0,999
新横浜グレースホテル,3.9,997
ringram リングラム横浜元町店（よこはまもとまちてん） 手作りの結婚指輪・婚約指輪・ペアリング,5.0,996
ホテルマイステイズ横浜,3.6,994
メレンゲみなとみらい,4.1,989
SOTETSU Life,3.6,989
サウスウッド,3.6,986
丸亀製麺横浜旭支店,3.6,982
大珍楼,3.6,980
イオン駒岡店,3.4,979
武蔵の森コーヒー,4.0,977
MMテラス,3.7,966
プルラ杉田,3.5,959
相鉄ライフ泉野,3.5,957
イオンスタイル戸塚,3.6,955
横浜ビジネスパーク,3.6,952
帆訓練船日本丸,4.3,943
三菱みなとみらい産業博物館,4.1,943
天吉,4.0,940
SUNNY ISLE,3.6,928
へちかん,4.1,924
ナイキストア,3.6,919
HOTEL MYSTAYS横浜関内,4.0,917
熟成館新館,4.1,912
餃子の王将石川町,3.6,911
鼎泰豊横浜,4.0,911
マクドナルド山下公園,3.6,909
コートホテル新横浜,3.5,909
パイホリック,3.6,905
淡町公園,3.6,902
大さん橋客船ターミナル,4.4,902
長津田厚生総合病院,4.4,901
清水ケ丘公園,4.0,901
かに道楽,4.1,898
横浜市電保存館,4.3,897
牧ヶ原ちびっこ動物園,3.9,893
MOS BURGER関内店,3.8,881
東急プラザ戸塚,3.6,880
雲河公園,4.2,880
ホテルミエルパルク横浜,3.9,880
UNIQLO PARK（横浜ベイサイド）,4.0,877
本牧三丁目公園,4.1,876
ラーメン林田 - 横浜,4.1,873
スターバックスコーヒー横浜公園,4.0,873
諸岡熊野神社,4.3,871
阿夫利横浜ジョイナス,3.8,871
YOKOHAMA AIR CABIN桜木町駅,4.0,868
ブロンコビリーセヤ天店ステーキハウス,3.9,863
GUNDAM-DOCK TOWER,4.6,852
コメダ珈琲店（横浜枝店）,3.9,848
しゃぶよう新横浜,3.9,848
軌道道路散歩道,4.4,828
九州じゃんがら銀座,4.0,827
普加利三橋桟橋,3.9,824
PREMIERE YOKOHAMA,3.2,824
あざみ野うかい亭,4.6,824
リッチモンドホテル横浜駅前,4.3,823
A Happy Pancake the Yokohama,4.1,822
ジョナサン馬車道店,3.5,821
AEON TENNOCHO SHOPPING CENTER,3.9,820
舞岡公園,4.1,815
アクア＆ペットかねだい横浜店,3.8,812
マクドナルド,3.3,811
胡蝶,3.7,808
ムーニーズ,4.4,805
アルペンジロ本店,4.1,803
横浜関帝廟,4.2,803
ナムコ横浜ワールドポーターズ,3.4,798
大倉山公園,4.0,795
成田山横浜別院,4.1,790
新屋,4.3,785
